Course Control Number (CB00),Course Code (CB01),Course Subject* (CB01),Course Number* (CB01),Course Title* (CB02) (updated=blue),Course Description,Department*,TOP Code,OLDTOP Code (CB03),Course Credit Status (CB04),Course Transfer Status (CB05),Course Units of Credit Maximum (CB06),Course Units of Credit Minimum (CB07),Course Basic Skills Status (CB08),SAM Priority Code (CB09),Cooperative Work Experience Education Status (CB10),Course Classification Code (CB11),Course Repeatability (CB12),Course Special Class Status (CB13),Course Can Code (CB14),Course Can Seq Code (CB15),Course Crosswalk Crs Dept Name (CB19),Course Crosswalk Crs Number (CB20),Course Prior to College Level (CB21),Course Non-Credit Category (CB22),Funding Agency Category (CB23),Course Program Status (CB24),Curriculum Id*,,
CCC000241148,ANTHR1,ANTHR,1,Biological Anthropology,"ANTHR 1 - Biological Anthropology, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course introduces the concepts, methods of inquiry, and scientific explanations for biological evolution and their application to the human species. Issues and topics will include, but are not limited to, genetics, evolutionary theory, human variation and biocultural adaptations, comparative primate anatomy and behavior, and the fossil evidence for human evolution. The scientific method serves as foundation of the course. Not repeatable. MJC equivalent: (ANTHR 101) Transfer: (CSU/UC) (CSU-GE: B2, D) (IGETC: 4A, 5B) C-ID: (ANTH 110)",ANTH,2202.00,220200,D,A,3,3,N,E,N,Y,,N,ANTH 110,NULL,CANTHR,1,Y,Y,Y,1,CANTHR-1,,
CCC000315351,ANTHR10,ANTHR,10,Archaeology,"ANTHR 10 - Archaeology, 3 Units Formerly listed as: ANTHR 10 - Archaeology and Cultural Prehistory 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  This course is an introduction to anthropological archaeology including concepts, theories, and methods employed by archaeologists in reconstructing past life ways of humans. Topics include history and interdisciplinary nature of archaeological research; data acquisition, analysis and interpretation with discussion of applicable data and models; cultural resource management; professional ethics; and selected cultural sequences. Not repeatable. MJC equivalent: (ANTHR 130) Transfer: (CSU/UC) (CSU-GE: D) (IGETC: 4A) C-ID: (ANTH 150)",ANTH,2202.00,220200,D,A,3,3,N,E,N,Y,,N,ANTH 150,NULL,CANTHR,10,Y,Y,Y,1,CANTHR-10,,
CCC000161461,ANTHR15,ANTHR,15,Native People of North America,"ANTHR 15 - Native People of North America,	 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  A survey of the origins, cultures, and customs of peoples indigenous to the North American continent with primary emphasis upon folkways dominant prior to interference by foreign cultures, and a secondary emphasis upon the status of Native Americans in the USA today. This course is designed to meet an ethnic studies requirement. Not repeatable. MJC equivalent: (ANTHR 150) Transfer: (CSU/UC) (CSU-GE: D) (IGETC: 4A, 4C)",ANTH,2202.00,220200,D,A,3,3,N,E,N,Y,,N,NULL,NULL,CANTHR,15,Y,Y,Y,1,CANTHR-15,,
CCC000219569,ANTHR2,ANTHR,2,Cultural Anthropology,"ANTHR 2 - Cultural Anthropology, 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  The scientific study of human societies including preliterate societies along with the concept of culture basic to Anthropology. Emphasis is on methods of fieldwork, cultural ecology, language, social and political structure, applied anthropology, the psychological perspective, religion, cultural change, and the cultural future of humanity. Not repeatable. MJC equivalent: (ANTHR 102) Transfer: (CSU/UC) (CSU-GE: D) (IGETC: 4A) C-ID: (ANTH 120)",ANTH,2202.00,220200,D,A,3,3,N,E,N,Y,,N,ANTH 120,NULL,CANTHR,2,Y,Y,Y,1,CANTHR-2,,
CCC000263261,ANTHR3,ANTHR,3,Current Issues in Anthropology,"ANTHR 3 - Current Issues in Anthropology, 3 units Recommended for Success: ENGL 151 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Intra-specific aggression, territoriality, population control, primate social organization, intra- and inter-species communication, and the present and future trends in social organization, war, religion, and cultural change. Not repeatable. Transfer: (CSU) (CSU-GE: D)",ANTH,2202.00,220200,D,B,3,3,N,E,N,Y,,N,NULL,NULL,CANTHR,3,Y,Y,Y,1,CANTHR-3,,
CCC000050450,ANTHR7,ANTHR,7,"Gender, Culture and Society","ANTHR 7/SOCIO 7 - Gender, Culture and Society,	 3 units 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours   The course takes an inclusive bio-cultural evolutionary perspective on gender, focusing on non-human primate societies as well as primitive (small scale) and modern (large scale) human societies. Factors such as culture, ecological conditions and historical circumstances, forces of stratification (e.g. age, social class), socialization (e.g. rites of passage, conformity and deviance) as well as the science (e.g. concepts, theories and methods) of studying these topics will be addressed. Though course readings will represent many disciplines, the foundation readings reflect the perspectives of bio-cultural anthropology as well as sociology. This emphasis addresses the fundamental assumption that while sex differences are biological, gender encompasses the traits that culture assigns and inculcates (with varying degrees of success) in males and females. Credit may be earned for only one of the following: ANTHR 7 or SOCIO 7. Not repeatable. Transfer: (CSU/UC) (CSU-GE: D) (IGETC: 4D) C-ID: (SOCI 140)",ANTH,2202.00,220200,D,A,3,3,N,E,N,Y,,N,SOCI 140,NULL,CANTHR,7,Y,Y,Y,1,CANTHR-7,,
CCC000594528,ART1,ART,1,Basic Freehand Drawing,"ART 1 - Basic Freehand Drawing, 3 units 36 Lecture Hours, 54 Laboratory Hours, 72 Out-of-Class Hours = 162 Total Student Learning Hours  Introduction to principles, elements, and practices of drawing, employing a wide range of subject matter and drawing media. Focus on perceptually based drawing, observational skills, technical abilities, and creative responses to materials and subject matter Not repeatable.  Transfer: (CSU/UC) C-ID: (ARTS 110)",ART,1002.10,100210,D,A,3,3,N,E,N,Y,,N,ARTS 110,NULL,CART,1,Y,Y,Y,1,CART-1,,
CCC000588836,ART103,ART,103,Practical Laboratory - Metal Sculpture,"ART 103/WT 103 - Practical Laboratory - Metal Sculpture, 1 unit Prerequisite(s): ART 165 or WT 165 54 Laboratory Hours = 54 Total Student Learning Hours  Materials fee required  The student shall gain practical experience by working on individual projects in metal sculpture design and fabrication. Emphasis is on quality, appearance and function. Credit may be earned for only one of the following: ART 103 or WT 103. Not repeatable.",ART,1001.00,100100,D,C,1,1,N,E,N,Y,,N,NULL,NULL,CART,103,Y,Y,Y,1,CART-103,,
CCC000341650,ART11,ART,11,History of Art: Ancient and Medieval,"ART 11 - History of Art: Ancient and Medieval,	 3 units Prerequisite(s): Completion of ENGL 151 with a C or P, or placement into Engl 1A through the assessment process. 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Survey of art history from the Paleolithic Age through the Late Gothic Era. Not repeatable. MJC equivalent: (ART 164) Transfer: (CSU/UC) (CSU-GE: C1) (IGETC: 3A) C-ID: (ARTH 110)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTH 110 ,NULL,CART,11,Y,Y,Y,1,CART-11,,
CCC000320704,ART12,ART,12,"History of Art: Renaissance, Baroque, and Modern","ART 12 - History of Art: Renaissance, Baroque, and Modern, 3 units Recommended for Success: ENGL 1A 54 Lecture Hours, 108 Out-of-Class Hours = 162 Total Student Learning Hours  Survey of art history from the 14th through the 20th century. Not repeatable. MJC equivalent: (ART 165) Transfer: (CSU/UC) (CSU-GE: C1) (IGETC: 3A) C-ID: (ARTH 120)",ART,1001.00,100100,D,A,3,3,N,E,N,Y,,N,ARTH 120,NULL,CART,12,Y,Y,Y,1,CART-12,,
